classification,path,exists,references_total,reason
CONNECTED_SUPPORT,"app/runtime/p2071_2080_realtime_paper_runtime.py",True,4,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/runtime/p2071_2080_realtime_paper_runtime.py.bak_P2071_2080B_20260618_063050",True,2,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/runtime/p2081_2090_realtime_portfolio_governance.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/runtime/p2091_2100_realtime_intelligence_layer.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/runtime/p2101_2110_autonomous_paper_operations.py",True,3,"referenced by app code: 2"
CONNECTED_SUPPORT,"app/runtime/p2111_2120_maximum_technical_capacity.py",True,2,"referenced by app code: 1"
LEGACY_REVIEW,"app/runtime/p2121_plus_continuous_max_capacity_audit.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/p2131_2150_ftmo_paper_compliance_assurance.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/p2151_plus_readiness_dossier_gate_review.py",True,1,"referenced by tests only: 1"
ORPHAN_CANDIDATE,"app/runtime/p2161_2220_full_governance_system.py",True,0,"no references found"
LEGACY_REVIEW,"app/runtime/p2223_broker_emulator.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/p2224_2226_institutional_core.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/p2227_2229_advanced_layer.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"app/runtime/ready_capability_bridge.py",True,1,"referenced by tests only: 1"
CONNECTED_SUPPORT,"app/runtime/universal_capability_registry.json",True,2,"referenced by app code: 1"
DANGEROUS_TO_TOUCH,"app/runtime/whatsapp_final_output_guard.py",True,6,"runtime/router/provider/forensic marker"
CONNECTED_SUPPORT,"tests/institutional/",True,47,"referenced by app code: 1"
LEGACY_REVIEW,"tests/institutional/test_p1901_depth_audit.py",True,0,"test file without app reference"
DANGEROUS_TO_TOUCH,"tests/institutional/test_p1901h3_live_risk_forensics.py",True,0,"runtime/router/provider/forensic marker"
LEGACY_REVIEW,"tests/institutional/test_p1901h_capability_discovery.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1901i_module_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1901j_runtime_graph.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1901k_capability_map_v2.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1901l_institutional_rescoring.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902a_data_density_baseline.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902b_dataset_canonicalization.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902c_data_quality_coverage.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902d1_coverage_matrix_audit.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902d2_unified_coverage_matrix.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902d_data_coverage_matrix.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902e_coverage_expansion_planner.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902f_data_acquisition_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902g_source_validation_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902h_mass_normalization_plan.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902i_historical_density_rebuild_plan.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902j_execution_readiness_gate.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p1902k_dry_run_execution_simulator.py",True,0,"test file without app reference"
