time,open,high,low,close,volume
2015-07-14 08:00:00+00:00,1.27469,1.28039,1.27437,1.2793,24330
2015-07-14 12:00:00+00:00,1.27944,1.28046,1.27154,1.27517,28857
2015-07-14 16:00:00+00:00,1.27514,1.27652,1.27248,1.27431,29979
2015-07-14 20:00:00+00:00,1.27432,1.27534,1.27265,1.27269,10800
2015-07-15 00:00:00+00:00,1.27268,1.27471,1.27253,1.27373,7280
2015-07-15 04:00:00+00:00,1.27369,1.27392,1.27228,1.27334,9832
2015-07-15 08:00:00+00:00,1.27332,1.27625,1.27301,1.27568,23006
2015-07-15 12:00:00+00:00,1.27565,1.27865,1.27338,1.27865,23992
2015-07-15 16:00:00+00:00,1.27867,1.29572,1.27775,1.29437,42626
2015-07-15 20:00:00+00:00,1.29438,1.29562,1.2906,1.2912,16490
2015-07-16 00:00:00+00:00,1.29113,1.29371,1.29097,1.29367,8850
2015-07-16 04:00:00+00:00,1.29363,1.29415,1.29259,1.29303,12244
2015-07-16 08:00:00+00:00,1.29303,1.29443,1.29121,1.29257,22519
2015-07-16 12:00:00+00:00,1.29258,1.29495,1.29157,1.29308,26999
2015-07-16 16:00:00+00:00,1.29307,1.29581,1.29044,1.29494,29837
2015-07-16 20:00:00+00:00,1.29495,1.2969,1.29352,1.29564,14389
2015-07-17 00:00:00+00:00,1.29564,1.29726,1.29538,1.29724,6307
2015-07-17 04:00:00+00:00,1.29725,1.29727,1.29537,1.29544,8373
2015-07-17 08:00:00+00:00,1.29544,1.29834,1.29471,1.29804,20855
2015-07-17 12:00:00+00:00,1.29806,1.30066,1.29563,1.29862,24483
2015-07-17 16:00:00+00:00,1.29862,1.30029,1.2959,1.29877,28250
2015-07-17 20:00:00+00:00,1.29878,1.29965,1.29703,1.29721,12357
2015-07-20 00:00:00+00:00,1.29756,1.29917,1.29735,1.2983,5990
2015-07-20 04:00:00+00:00,1.2983,1.29978,1.29811,1.29838,11129
2015-07-20 08:00:00+00:00,1.29837,1.2989,1.29518,1.29775,20582
2015-07-20 12:00:00+00:00,1.29774,1.29979,1.29687,1.299,23549
2015-07-20 16:00:00+00:00,1.29899,1.30238,1.2963,1.29898,23606
2015-07-20 20:00:00+00:00,1.29898,1.3004,1.29848,1.29916,14206
2015-07-21 00:00:00+00:00,1.29916,1.30014,1.29899,1.29929,7893
2015-07-21 04:00:00+00:00,1.29929,1.30062,1.29818,1.30032,13335
2015-07-21 08:00:00+00:00,1.30034,1.30121,1.29723,1.29901,29102
2015-07-21 12:00:00+00:00,1.29901,1.29994,1.2978,1.29893,31482
2015-07-21 16:00:00+00:00,1.29892,1.29952,1.29163,1.29319,50154
2015-07-21 20:00:00+00:00,1.2932,1.29624,1.2929,1.29447,34505
2015-07-22 00:00:00+00:00,1.2945,1.29506,1.29372,1.29446,8273
2015-07-22 04:00:00+00:00,1.29441,1.29665,1.2936,1.29553,15923
2015-07-22 08:00:00+00:00,1.29552,1.29919,1.29482,1.29774,30709
2015-07-22 12:00:00+00:00,1.2977,1.30331,1.29647,1.3021,39855
2015-07-22 16:00:00+00:00,1.30211,1.30523,1.30104,1.30164,53855
2015-07-22 20:00:00+00:00,1.30163,1.30415,1.30147,1.30289,26138
2015-07-23 00:00:00+00:00,1.30309,1.30473,1.3021,1.30393,16782
2015-07-23 04:00:00+00:00,1.30393,1.30419,1.30249,1.30298,22395
2015-07-23 08:00:00+00:00,1.30298,1.30408,1.29598,1.29708,26891
2015-07-23 12:00:00+00:00,1.29708,1.30083,1.29469,1.30054,30103
2015-07-23 16:00:00+00:00,1.30052,1.30348,1.29799,1.30277,33221
2015-07-23 20:00:00+00:00,1.30275,1.3044,1.3007,1.30352,17290
2015-07-24 00:00:00+00:00,1.30355,1.30426,1.30171,1.30203,6218
2015-07-24 04:00:00+00:00,1.30203,1.30491,1.30169,1.30308,12543
2015-07-24 08:00:00+00:00,1.30312,1.30448,1.30191,1.30227,20516
2015-07-24 12:00:00+00:00,1.30226,1.31024,1.30199,1.30763,30334
2015-07-24 16:00:00+00:00,1.30764,1.30915,1.30272,1.3089,34047
2015-07-24 20:00:00+00:00,1.30895,1.3097,1.30317,1.30425,21058
2015-07-27 00:00:00+00:00,1.30368,1.30475,1.30314,1.30364,4983
2015-07-27 04:00:00+00:00,1.30364,1.30424,1.30214,1.30324,9911
2015-07-27 08:00:00+00:00,1.30323,1.30386,1.29784,1.29976,26554
2015-07-27 12:00:00+00:00,1.29977,1.30444,1.29863,1.3034,33767
2015-07-27 16:00:00+00:00,1.30341,1.30344,1.29928,1.30334,36610
2015-07-27 20:00:00+00:00,1.30332,1.30462,1.30126,1.30362,16111
2015-07-28 00:00:00+00:00,1.30372,1.30413,1.30246,1.303,5971
2015-07-28 04:00:00+00:00,1.303,1.30427,1.30045,1.30057,9686
2015-07-28 08:00:00+00:00,1.30057,1.30368,1.30048,1.3015,26862
2015-07-28 12:00:00+00:00,1.3015,1.30249,1.29949,1.30009,33576
2015-07-28 16:00:00+00:00,1.30009,1.3009,1.29131,1.29319,38639
2015-07-28 20:00:00+00:00,1.29319,1.29369,1.29112,1.29202,20413
2015-07-29 00:00:00+00:00,1.29201,1.29362,1.29177,1.29308,8144
2015-07-29 04:00:00+00:00,1.29308,1.29437,1.29233,1.29437,8085
2015-07-29 08:00:00+00:00,1.29436,1.29657,1.29363,1.29445,28040
2015-07-29 12:00:00+00:00,1.29446,1.29668,1.29233,1.29543,33633
2015-07-29 16:00:00+00:00,1.29546,1.29546,1.28678,1.28968,40210
2015-07-29 20:00:00+00:00,1.28968,1.2952,1.28609,1.29427,28225
2015-07-30 00:00:00+00:00,1.29419,1.29593,1.29408,1.29521,7342
2015-07-30 04:00:00+00:00,1.29521,1.29594,1.29487,1.29582,8086
2015-07-30 08:00:00+00:00,1.29582,1.29936,1.29547,1.29706,26306
2015-07-30 12:00:00+00:00,1.29707,1.30249,1.29619,1.29791,36323
2015-07-30 16:00:00+00:00,1.2979,1.30436,1.29772,1.30038,43350
2015-07-30 20:00:00+00:00,1.30039,1.30186,1.29941,1.30014,24096
2015-07-31 00:00:00+00:00,1.2994,1.30099,1.2991,1.2998,7769
2015-07-31 04:00:00+00:00,1.29981,1.30056,1.29932,1.29962,10712
2015-07-31 08:00:00+00:00,1.29964,1.30444,1.29933,1.30352,27848
2015-07-31 12:00:00+00:00,1.30351,1.30961,1.29936,1.30139,40758
2015-07-31 16:00:00+00:00,1.30139,1.30487,1.29402,1.30396,51204
2015-07-31 20:00:00+00:00,1.30392,1.30915,1.30392,1.30855,26410
