trade_id,entry_reason,stop_reason,target_reason,exit_reason
"USDCAD_H1_EMA_CROSS_21,55_1378_1404","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001145,target calculado por confluência: 2x ATR (1.39744) + RR 2:1 baseado no swing/stop (1.38675),saída por sinal oposto: novo cruzamento BUY em 2025-11-19 20:00:00
"USDCAD_H1_EMA_CROSS_21,55_1404_1509","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001236,target calculado por confluência: 2x ATR (1.407431) + RR 2:1 baseado no swing/stop (1.41924),saída por sinal oposto: novo cruzamento SELL em 2025-11-26 05:00:00
"USDCAD_H1_EMA_CROSS_21,55_1509_1876","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001217,target calculado por confluência: 2x ATR (1.404736) + RR 2:1 baseado no swing/stop (1.39657),saída por sinal oposto: novo cruzamento BUY em 2025-12-17 12:00:00
"USDCAD_H1_EMA_CROSS_21,55_1876_1950","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000825,target calculado por confluência: 2x ATR (1.37991) + RR 2:1 baseado no swing/stop (1.38918),saída por sinal oposto: novo cruzamento SELL em 2025-12-22 14:00:00
"USDCAD_H1_EMA_CROSS_21,55_1950_2055","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000734,target calculado por confluência: 2x ATR (1.375313) + RR 2:1 baseado no swing/stop (1.3692),saída por sinal oposto: novo cruzamento BUY em 2025-12-29 23:00:00
"USDCAD_H1_EMA_CROSS_21,55_2055_2382","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001489,target calculado por confluência: 2x ATR (1.371697) + RR 2:1 baseado no swing/stop (1.37466),saída por sinal oposto: novo cruzamento SELL em 2026-01-19 14:00:00
"USDCAD_H1_EMA_CROSS_21,55_2382_2607","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.000889,target calculado por confluência: 2x ATR (1.386893) + RR 2:1 baseado no swing/stop (1.38029),saída por sinal oposto: novo cruzamento BUY em 2026-01-30 23:00:00
"USDCAD_H1_EMA_CROSS_21,55_2607_2722","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.002895,target calculado por confluência: 2x ATR (1.36555) + RR 2:1 baseado no swing/stop (1.38064),saída por sinal oposto: novo cruzamento SELL em 2026-02-06 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_2722_2808","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001421,target calculado por confluência: 2x ATR (1.361827) + RR 2:1 baseado no swing/stop (1.34915),saída por sinal oposto: novo cruzamento BUY em 2026-02-12 08:00:00
"USDCAD_H1_EMA_CROSS_21,55_2808_2813","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001339,target calculado por confluência: 2x ATR (1.361677) + RR 2:1 baseado no swing/stop (1.37614),saída por sinal oposto: novo cruzamento SELL em 2026-02-12 13:00:00
"USDCAD_H1_EMA_CROSS_21,55_2813_2816","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001239,target calculado por confluência: 2x ATR (1.353241) + RR 2:1 baseado no swing/stop (1.3434),saída por sinal oposto: novo cruzamento BUY em 2026-02-12 16:00:00
"USDCAD_H1_EMA_CROSS_21,55_2816_2970","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001459,target calculado por confluência: 2x ATR (1.361299) + RR 2:1 baseado no swing/stop (1.36506),saída por sinal oposto: novo cruzamento SELL em 2026-02-23 02:00:00
"USDCAD_H1_EMA_CROSS_21,55_2970_2987","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001899,target calculado por confluência: 2x ATR (1.361853) + RR 2:1 baseado no swing/stop (1.35469),saída por sinal oposto: novo cruzamento BUY em 2026-02-23 19:00:00
"USDCAD_H1_EMA_CROSS_21,55_2987_3034","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001168,target calculado por confluência: 2x ATR (1.371326) + RR 2:1 baseado no swing/stop (1.37727),saída por sinal oposto: novo cruzamento SELL em 2026-02-25 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_3034_3101","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.00114,target calculado por confluência: 2x ATR (1.36629) + RR 2:1 baseado no swing/stop (1.36441),saída por sinal oposto: novo cruzamento BUY em 2026-03-02 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_3101_3146","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001738,target calculado por confluência: 2x ATR (1.374196) + RR 2:1 baseado no swing/stop (1.38616),saída por sinal oposto: novo cruzamento SELL em 2026-03-04 15:00:00
"USDCAD_H1_EMA_CROSS_21,55_3146_3177","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001956,target calculado por confluência: 2x ATR (1.363227) + RR 2:1 baseado no swing/stop (1.36144),saída por sinal oposto: novo cruzamento BUY em 2026-03-05 22:00:00
"USDCAD_H1_EMA_CROSS_21,55_3177_3184","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.002499,target calculado por confluência: 2x ATR (1.371937) + RR 2:1 baseado no swing/stop (1.3778),saída por sinal oposto: novo cruzamento SELL em 2026-03-06 05:00:00
"USDCAD_H1_EMA_CROSS_21,55_3184_3276","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001901,target calculado por confluência: 2x ATR (1.361959) + RR 2:1 baseado no swing/stop (1.35406),saída por sinal oposto: novo cruzamento BUY em 2026-03-12 01:00:00
"USDCAD_H1_EMA_CROSS_21,55_3276_3622","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001524,target calculado por confluência: 2x ATR (1.363357) + RR 2:1 baseado no swing/stop (1.36997),saída por sinal oposto: novo cruzamento SELL em 2026-04-01 14:00:00
"USDCAD_H1_EMA_CROSS_21,55_3622_3644","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001234,target calculado por confluência: 2x ATR (1.386671) + RR 2:1 baseado no swing/stop (1.37412),saída por sinal oposto: novo cruzamento BUY em 2026-04-02 12:00:00
"USDCAD_H1_EMA_CROSS_21,55_3644_3701","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001104,target calculado por confluência: 2x ATR (1.393969) + RR 2:1 baseado no swing/stop (1.40192),saída por sinal oposto: novo cruzamento SELL em 2026-04-06 21:00:00
"USDCAD_H1_EMA_CROSS_21,55_3701_3804","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001026,target calculado por confluência: 2x ATR (1.389717) + RR 2:1 baseado no swing/stop (1.38579),saída por sinal oposto: novo cruzamento BUY em 2026-04-13 04:00:00
"USDCAD_H1_EMA_CROSS_21,55_3804_3817","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001435,target calculado por confluência: 2x ATR (1.3892) + RR 2:1 baseado no swing/stop (1.39917),saída por sinal oposto: novo cruzamento SELL em 2026-04-13 17:00:00
"USDCAD_H1_EMA_CROSS_21,55_3817_3998","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001026,target calculado por confluência: 2x ATR (1.379039) + RR 2:1 baseado no swing/stop (1.36779),saída por sinal oposto: novo cruzamento BUY em 2026-04-23 06:00:00
"USDCAD_H1_EMA_CROSS_21,55_3998_4043","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000941,target calculado por confluência: 2x ATR (1.369453) + RR 2:1 baseado no swing/stop (1.37405),saída por sinal oposto: novo cruzamento SELL em 2026-04-27 03:00:00
"USDCAD_H1_EMA_CROSS_21,55_4043_4082","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001025,target calculado por confluência: 2x ATR (1.36493) + RR 2:1 baseado no swing/stop (1.35822),saída por sinal oposto: novo cruzamento BUY em 2026-04-28 18:00:00
"USDCAD_H1_EMA_CROSS_21,55_4082_4129","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001295,target calculado por confluência: 2x ATR (1.36977) + RR 2:1 baseado no swing/stop (1.37902),saída por sinal oposto: novo cruzamento SELL em 2026-04-30 17:00:00
"USDCAD_H1_EMA_CROSS_21,55_4129_4185","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001429,target calculado por confluência: 2x ATR (1.358321) + RR 2:1 baseado no swing/stop (1.34516),saída por sinal oposto: novo cruzamento BUY em 2026-05-05 01:00:00
"USDCAD_H1_EMA_CROSS_21,55_4185_4212","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001127,target calculado por confluência: 2x ATR (1.364684) + RR 2:1 baseado no swing/stop (1.37053),saída por sinal oposto: novo cruzamento SELL em 2026-05-06 04:00:00
"USDCAD_H1_EMA_CROSS_21,55_4212_4228","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001106,target calculado por confluência: 2x ATR (1.357549) + RR 2:1 baseado no swing/stop (1.35326),saída por sinal oposto: novo cruzamento BUY em 2026-05-06 20:00:00
"USDCAD_H1_EMA_CROSS_21,55_4228_4614","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.001402,target calculado por confluência: 2x ATR (1.366634) + RR 2:1 baseado no swing/stop (1.37591),saída por sinal oposto: novo cruzamento SELL em 2026-05-28 22:00:00
"USDCAD_H1_EMA_CROSS_21,55_4614_4654","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001407,target calculado por confluência: 2x ATR (1.375486) + RR 2:1 baseado no swing/stop (1.36092),saída por sinal oposto: novo cruzamento BUY em 2026-06-01 14:00:00
"USDCAD_H1_EMA_CROSS_21,55_4654_4825","EMA_CROSS 21,55 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=0.000814,target calculado por confluência: 2x ATR (1.384677) + RR 2:1 baseado no swing/stop (1.39435),saída por sinal oposto: novo cruzamento SELL em 2026-06-10 17:00:00
"USDCAD_H1_EMA_CROSS_21,55_4825_4833","EMA_CROSS 21,55 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=0.001121,target calculado por confluência: 2x ATR (1.390567) + RR 2:1 baseado no swing/stop (1.38699),saída por sinal oposto: novo cruzamento BUY em 2026-06-11 01:00:00
"XAUUSD_D1_EMA_CROSS_9,34_50_52","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=26.412143,target calculado por confluência: 2x ATR (1999.114286) + RR 2:1 baseado no swing/stop (2119.03),saída por sinal oposto: novo cruzamento SELL em 2020-11-09 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_52_81","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=33.478571,target calculado por confluência: 2x ATR (1794.012857) + RR 2:1 baseado no swing/stop (1662.33),saída por sinal oposto: novo cruzamento BUY em 2020-12-18 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_81_97","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=26.929286,target calculado por confluência: 2x ATR (1936.368571) + RR 2:1 baseado no swing/stop (2118.77),saída por sinal oposto: novo cruzamento SELL em 2021-01-13 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_97_163","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=31.356429,target calculado por confluência: 2x ATR (1784.797143) + RR 2:1 baseado no swing/stop (1623.95),saída por sinal oposto: novo cruzamento BUY em 2021-04-16 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_163_207","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=24.271429,target calculado por confluência: 2x ATR (1824.212857) + RR 2:1 baseado no swing/stop (1971.29),saída por sinal oposto: novo cruzamento SELL em 2021-06-17 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_207_258","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=29.21,target calculado por confluência: 2x ATR (1717.07) + RR 2:1 baseado no swing/stop (1493.31),saída por sinal oposto: novo cruzamento BUY em 2021-08-27 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_258_272","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=20.400714,target calculado por confluência: 2x ATR (1858.981429) + RR 2:1 baseado no swing/stop (2088.14),saída por sinal oposto: novo cruzamento SELL em 2021-09-16 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_272_297","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=20.692857,target calculado por confluência: 2x ATR (1712.184286) + RR 2:1 baseado no swing/stop (1592.81),saída por sinal oposto: novo cruzamento BUY em 2021-10-21 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_297_324","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=20.459286,target calculado por confluência: 2x ATR (1824.288571) + RR 2:1 baseado no swing/stop (1906.81),saída por sinal oposto: novo cruzamento SELL em 2021-11-29 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_324_343","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=25.172857,target calculado por confluência: 2x ATR (1734.774286) + RR 2:1 baseado no swing/stop (1600.9),saída por sinal oposto: novo cruzamento BUY em 2021-12-27 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_343_369","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=17.071429,target calculado por confluência: 2x ATR (1845.692857) + RR 2:1 baseado no swing/stop (1929.97),saída por sinal oposto: novo cruzamento SELL em 2022-02-01 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_369_374","EMA_CROSS 9,34 confirmou cruzamento SELL; fast passou abaixo da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing high anterior + volatilidade ATR14=18.750714,target calculado por confluência: 2x ATR (1763.518571) + RR 2:1 baseado no swing/stop (1695.26),saída por sinal oposto: novo cruzamento BUY em 2022-02-08 00:00:00
"XAUUSD_D1_EMA_CROSS_9,34_374_428","EMA_CROSS 9,34 confirmou cruzamento BUY; fast passou acima da slow; candle fechado usado; entrada no open seguinte",stop técnico baseado em swing low anterior + volatilidade ATR14=18.607143,target calculado por confluência: 2x ATR (1862.964286) + RR 2:1 baseado no swing/stop (1916.65),saída por sinal oposto: novo cruzamento SELL em 2022-04-26 00:00:00
