"trade_id","symbol","entry_action","timeframe","d1_bias","h4_bias","h1_bias","m30_bias","m15_bias","alignment_score","result","pnl","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_3146_3177","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.0002","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3177_3184","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00118","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3184_3276","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.00545","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3276_3622","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.02883","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3622_3644","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00262","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3644_3701","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","1e-05","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3701_3804","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.00544","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3804_3817","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00524","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3817_3998","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.01352","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3998_4043","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00059","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4043_4082","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.0002","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4082_4129","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.006","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4129_4185","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00125","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4185_4212","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00267","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4212_4228","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00407","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4228_4614","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.01447","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4614_4654","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00475","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4654_4825","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.00976","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4825_4833","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00171","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_50_52","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-85.32","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_52_81","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-21.54","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_81_97","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-35.0","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_97_163","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","71.84","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_163_207","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.18","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_207_258","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-42.69","PAPER_ONLY","FORBIDDEN"
