"trade_id","edge_id","symbol","timeframe","strategy","result","pnl","regime","quality","mode","real_orders"
"USDCAD_H1_EMA_CROSS_21,55_3146_3177","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.0002","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3177_3184","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00118","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3184_3276","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00545","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3276_3622","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.02883","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3622_3644","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00262","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3644_3701","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","1e-05","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3701_3804","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00544","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3804_3817","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00524","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3817_3998","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.01352","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_3998_4043","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00059","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4043_4082","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.0002","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4082_4129","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.006","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4129_4185","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00125","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4185_4212","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00267","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4212_4228","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00407","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4228_4614","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.01447","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4614_4654","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00475","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4654_4825","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","WIN","0.00976","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_21,55_4825_4833","USDCAD_H1_EMA_CROSS_21,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00171","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_50_52","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-85.32","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_52_81","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-21.54","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_81_97","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-35.0","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_97_163","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","71.84","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_163_207","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-0.18","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_207_258","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-42.69","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_258_272","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-64.61","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_272_297","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","LOSS","-29.8","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_297_324","XAUUSD_D1_EMA_CROSS_9,34","XAUUSD","D1","EMA_CROSS","WIN","1.75","VOLATILE_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
