"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.0","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=18","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=22","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=21;min=20","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.0","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.5","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","SMA_CROSS","fast=13;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=18","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=21;min=20","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","ATR_FILTER","atr=14;min_mult=1.5","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","ADX_FILTER","adx=14;min=22","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","108","1,3215","47,22","1,4769","0,01505","0,02255","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","56","1,2757","41,07","1,8304","0,01454","0,01029","False"
"EURUSD","M5","EMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","56","1,2757","41,07","1,8304","0,01454","0,01029","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","56","1,2757","41,07","1,8304","0,01454","0,01029","False"
"EURUSD","M5","SMA_CROSS","fast=21;slow=34","SESSION_FILTER","session=LONDON_NY","56","1,2757","41,07","1,8304","0,01454","0,01029","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=21;min=20","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=18","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","SMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
"USDCHF","M15","EMA_CROSS","fast=21;slow=34","ADX_FILTER","adx=14;min=22","153","1,2493","46,41","1,4252","0,02173","0,02103","False"
