"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"USDCHF","FOREX","H1","EMA_CROSS","TREND","fast=13;slow=144","53","1,4017","37,74","0,4603","2,3128","345","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=55","114","1,3939","33,33","5,6351","2,7511","67486","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=55","114","1,3939","33,33","5,6351","2,7511","67486","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=89","120","1,3892","31,67","3,2289","2,9977","59886","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=89","120","1,3892","31,67","3,2289","2,9977","59886","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=55","132","1,3825","32,58","0,8482","2,8614","11373","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=55","132","1,3825","32,58","0,8482","2,8614","11373","BACKTESTED"
"USDCHF","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=144","48","1,3689","31,25","0,7459","3,0115","9096","BACKTESTED"
"USDCHF","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=144","48","1,3689","31,25","0,7459","3,0115","9096","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=144","56","1,3674","28,57","2,2902","3,4184","3412","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=144","56","1,3674","28,57","2,2902","3,4184","3412","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","0,4283","1,9039","4978","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","0,4283","1,9039","4978","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=55","111","1,3543","37,84","2,4056","2,2249","48265","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=55","111","1,3543","37,84","2,4056","2,2249","48265","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=89","96","1,3483","25","3,2489","4,0448","42337","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=89","96","1,3483","25","3,2489","4,0448","42337","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=21","285","1,3443","36,84","2,8643","2,3044","72287","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=21","285","1,3443","36,84","2,8643","2,3044","72287","BACKTESTED"
"EURUSD","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=55","107","1,3405","40,19","0,1004","0,1964","1586","BACKTESTED"
"EURUSD","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=55","107","1,3405","40,19","0,1004","0,1964","1586","BACKTESTED"
"GBPUSD","FOREX","H4","SMA_CROSS","TREND","fast=13;slow=144","56","1,3394","3,75","652","2,2323","9738","BACKTESTED"
"GBPUSD","FOREX","H4","EMA_CROSS","TREND","fast=13;slow=144","56","1,3394","3,75","652","2,2323","9738","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=144","60","1,3376","30","2,8584","0,3121","29691","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=144","60","1,3376","30","2,8584","0,3121","29691","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=34","166","1,3356","39,76","0,4359","2,0236","6861","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=34","166","1,3356","39,76","0,4359","2,0236","6861","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","769","1,4503","11019","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","769","1,4503","11019","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","108","1,3215","47,22","0,1505","1,4769","2255","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","108","1,3215","47,22","0,1505","1,4769","2255","BACKTESTED"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=34","138","1,3184","39,13","0,2121","2,0508","3792","BACKTESTED"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=34","138","1,3184","39,13","0,2121","2,0508","3792","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=34","148","1,3123","39,19","0,1686","2,0136","2386","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=34","148","1,3123","39,19","0,1686","2,0136","2386","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=55","137","1,3064","32,85","2,9617","2,6709","4735","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=55","137","1,3064","32,85","2,9617","2,6709","4735","BACKTESTED"
"USDCHF","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=144","61","1,3051","34,43","0,3642","2,4859","2937","BACKTESTED"
"USDCHF","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=144","61","1,3051","34,43","0,3642","2,4859","2937","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=21;slow=144","44","1,2915","38,64","3,0604","2,0512","24591","BACKTESTED"
