symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
JP225,M5,SMA_SCALP,"8,21",540,1.079,34.81,2.0203,3934.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M2,SMA_SCALP,"13,34",332,1.0772,38.25,1.7304,2404.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M5,SMA_SCALP,"8,21",529,1.0762,36.48,1.8681,372.8,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,SMA_SCALP,"8,21",560,1.0752,39.11,1.6742,141.14,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,EMA_SCALP,"8,21",470,1.0751,27.66,2.8036,3402.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M2,EMA_SCALP,"5,13",754,1.0738,29.97,2.4849,602.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,SMA_SCALP,"9,21",552,1.0725,38.41,1.7201,888.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M5,SMA_SCALP,"9,21",519,1.0705,35.07,1.9762,338.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,SMA_SCALP,"8,21",521,1.06,36.08,1.8719,961.4,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
JP225,M5,SMA_SCALP,"13,34",336,1.0596,33.33,2.1193,2400.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,EMA_SCALP,"13,34",280,1.059,29.29,2.557,78.2,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M5,SMA_SCALP,"13,34",329,1.0583,37.99,1.7272,131.02,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,EMA_SCALP,"8,21",474,1.0537,27.22,2.8181,121.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,SMA_SCALP,"9,21",499,1.0536,37.47,1.7579,841.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
EURUSD,M2,EMA_SCALP,"5,13",773,1.0516,28.2,2.6289,0.00609,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,SMA_SCALP,"8,21",503,1.0493,39.96,1.5714,555.3,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,SMA_SCALP,"5,13",812,1.0491,34.98,1.943,731.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
