"symbol","class","timeframe","strategy","family","params","base_trades","base_pf","base_winrate","base_payoff","base_netprofit","filter","filter_params","status"
"USDJPY","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","1,7957","27565","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"USDJPY","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","93","1,4158","44,09","1,7957","27565","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"GBPUSD","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=55","96","1,4139","41,67","1,9795","3747","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ADX_FILTER","adx=21;min=20","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ATR_FILTER","atr=14;min_mult=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","ATR_FILTER","atr=14;min_mult=1.5","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=LONDON","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","SESSION_FILTER","session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=21;slow=89","60","1,3599","41,67","1,9039","4978","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","1,4503","11019","ADX_FILTER","adx=14;min=18","PENDING_FILTER_BACKTEST"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=21;slow=55","89","1,3242","47,19","1,4503","11019","ADX_FILTER","adx=14;min=22","PENDING_FILTER_BACKTEST"
