"FullPath","Name","Extension","SizeKB","Modified","Keyword"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\__pycache__\knowledge_extraction_engine.cpython-312.pyc","knowledge_extraction_engine.cpython-312.pyc",".pyc","4,77","19/06/2026 15:18:11","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\app\eldora\core\audit_ledger.py","audit_ledger.py",".py","0,28","23/05/2026 19:48:48","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\app\modules\usde_core\ledger.py","ledger.py",".py","1,19","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\app\modules\usde_core\scientific_knowledge_graph.py","scientific_knowledge_graph.py",".py","0,82","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\app\modules\usde_core\scientific_knowledge_sync.py","scientific_knowledge_sync.py",".py","0,75","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\app\modules\usde_core\scientific_ledger.py","scientific_ledger.py",".py","0,78","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\test_p122_cloud_export_verification_ledger.py","test_p122_cloud_export_verification_ledger.py",".py","0,65","09/06/2026 13:09:36","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\test_p55g_pedigree_edge_ingestion.py","test_p55g_pedigree_edge_ingestion.py",".py","0,56","08/06/2026 12:43:56","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\modules\test_usde_ledger.py","test_usde_ledger.py",".py","0,39","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\modules\test_usde_scientific_knowledge_graph.py","test_usde_scientific_knowledge_graph.py",".py","0,64","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\modules\test_usde_scientific_knowledge_sync.py","test_usde_scientific_knowledge_sync.py",".py","0,29","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074551\tests\modules\test_usde_scientific_ledger.py","test_usde_scientific_ledger.py",".py","0,24","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\app\eldora\core\audit_ledger.py","audit_ledger.py",".py","0,28","23/05/2026 19:48:48","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\app\modules\usde_core\ledger.py","ledger.py",".py","1,19","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\app\modules\usde_core\scientific_knowledge_graph.py","scientific_knowledge_graph.py",".py","0,82","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\app\modules\usde_core\scientific_knowledge_sync.py","scientific_knowledge_sync.py",".py","0,75","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\app\modules\usde_core\scientific_ledger.py","scientific_ledger.py",".py","0,78","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\test_p122_cloud_export_verification_ledger.py","test_p122_cloud_export_verification_ledger.py",".py","0,65","09/06/2026 13:09:36","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\test_p55g_pedigree_edge_ingestion.py","test_p55g_pedigree_edge_ingestion.py",".py","0,56","08/06/2026 12:43:56","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\modules\test_usde_ledger.py","test_usde_ledger.py",".py","0,39","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\modules\test_usde_scientific_knowledge_graph.py","test_usde_scientific_knowledge_graph.py",".py","0,64","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\modules\test_usde_scientific_knowledge_sync.py","test_usde_scientific_knowledge_sync.py",".py","0,29","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\ATOMIC_SNAPSHOT_20260618_074726\tests\modules\test_usde_scientific_ledger.py","test_usde_scientific_ledger.py",".py","0,24","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\app\eldora\core\audit_ledger.py","audit_ledger.py",".py","0,28","23/05/2026 19:48:48","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\app\modules\usde_core\ledger.py","ledger.py",".py","1,19","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\app\modules\usde_core\scientific_knowledge_graph.py","scientific_knowledge_graph.py",".py","0,82","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\app\modules\usde_core\scientific_knowledge_sync.py","scientific_knowledge_sync.py",".py","0,75","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\app\modules\usde_core\scientific_ledger.py","scientific_ledger.py",".py","0,78","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\test_p122_cloud_export_verification_ledger.py","test_p122_cloud_export_verification_ledger.py",".py","0,65","09/06/2026 13:09:36","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\test_p55g_pedigree_edge_ingestion.py","test_p55g_pedigree_edge_ingestion.py",".py","0,56","08/06/2026 12:43:56","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\modules\test_usde_ledger.py","test_usde_ledger.py",".py","0,39","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\modules\test_usde_scientific_knowledge_graph.py","test_usde_scientific_knowledge_graph.py",".py","0,64","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\modules\test_usde_scientific_knowledge_sync.py","test_usde_scientific_knowledge_sync.py",".py","0,29","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\backups\P19P17_P19P21_UNIVERSAL_CONTEXT_RUNTIME_20260618_062646\tests\modules\test_usde_scientific_ledger.py","test_usde_scientific_ledger.py",".py","0,24","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2071_2080\P2071_2080_LEDGER.json","P2071_2080_LEDGER.json",".json","0,92","18/06/2026 06:31:01","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2081_2090\P2081_2090_LEDGER.json","P2081_2090_LEDGER.json",".json","1,08","18/06/2026 06:35:37","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2091_2100\P2091_2100_LEDGER.json","P2091_2100_LEDGER.json",".json","1,17","18/06/2026 06:38:17","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2101_2110\P2101_2110_LEDGER.json","P2101_2110_LEDGER.json",".json","1,27","18/06/2026 06:51:16","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2111_2120\P2111_2120_LEDGER.json","P2111_2120_LEDGER.json",".json","0,88","18/06/2026 06:55:57","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2121_PLUS\P2121_PLUS_LEDGER.json","P2121_PLUS_LEDGER.json",".json","1,44","18/06/2026 06:59:11","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2131_2150\P2131_2150_LEDGER.json","P2131_2150_LEDGER.json",".json","0,91","18/06/2026 07:10:58","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2151_PLUS\P2151_PLUS_LEDGER.json","P2151_PLUS_LEDGER.json",".json","1","18/06/2026 07:15:09","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2161_2220\P2161_2220_LEDGER.json","P2161_2220_LEDGER.json",".json","0,23","18/06/2026 07:20:57","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2223_BROKER_EMULATOR\ledger.json","ledger.json",".json","0,22","18/06/2026 07:31:35","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2224_2226_PLUS\ledger.json","ledger.json",".json","0,27","18/06/2026 07:34:33","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\data\runtime\P2227_2229_PLUS\ledger.json","ledger.json",".json","0,27","18/06/2026 07:35:37","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\app\eldora\core\audit_ledger.py","audit_ledger.py",".py","0,28","23/05/2026 19:48:48","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\app\modules\usde_core\ledger.py","ledger.py",".py","1,19","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\app\modules\usde_core\scientific_knowledge_graph.py","scientific_knowledge_graph.py",".py","0,82","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\app\modules\usde_core\scientific_knowledge_sync.py","scientific_knowledge_sync.py",".py","0,75","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\app\modules\usde_core\scientific_ledger.py","scientific_ledger.py",".py","0,78","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\data\runtime\P2071_2080\P2071_2080_LEDGER.json","P2071_2080_LEDGER.json",".json","0,94","18/06/2026 06:24:26","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\test_p122_cloud_export_verification_ledger.py","test_p122_cloud_export_verification_ledger.py",".py","0,65","09/06/2026 13:09:36","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\test_p55g_pedigree_edge_ingestion.py","test_p55g_pedigree_edge_ingestion.py",".py","0,56","08/06/2026 12:43:56","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\modules\test_usde_ledger.py","test_usde_ledger.py",".py","0,39","06/06/2026 15:21:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\modules\test_usde_scientific_knowledge_graph.py","test_usde_scientific_knowledge_graph.py",".py","0,64","06/06/2026 15:55:06","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\modules\test_usde_scientific_knowledge_sync.py","test_usde_scientific_knowledge_sync.py",".py","0,29","06/06/2026 17:06:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\P4.51_LEVEL_C_FULL_AUDIT_20260618_062425\backup\tests\modules\test_usde_scientific_ledger.py","test_usde_scientific_ledger.py",".py","0,24","06/06/2026 15:59:15","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\p56g30e_edge_reconciliation_audit.py","p56g30e_edge_reconciliation_audit.py",".py","3,46","14/06/2026 16:03:53","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\institutional_audit_ledger.py","institutional_audit_ledger.py",".py","3,48","08/06/2026 16:12:05","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\engines\edge_discovery_authority.py","edge_discovery_authority.py",".py","2,08","08/06/2026 18:51:14","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\engines\feature_store_edge_discovery.py","feature_store_edge_discovery.py",".py","3,39","08/06/2026 16:00:46","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\knowledge\knowledge_absorption_authority.py","knowledge_absorption_authority.py",".py","2,88","09/06/2026 10:53:04","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\knowledge\knowledge_source_registry.py","knowledge_source_registry.py",".py","1,9","08/06/2026 21:13:59","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\validation\edge_validation.py","edge_validation.py",".py","3,39","08/06/2026 15:47:37","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\lake\health\p1895_edge_health_monitor.json","p1895_edge_health_monitor.json",".json","21,05","16/06/2026 16:13:01","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\lake\knowledge_base\p1900_supreme_market_knowledge_base.json","p1900_supreme_market_knowledge_base.json",".json","0,44","16/06/2026 16:13:01","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\knowledge\edge_memory\edge_memory.json","edge_memory.json",".json","70,63","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\FTMO_SIMULATION_LEDGER.jsonl","FTMO_SIMULATION_LEDGER.jsonl",".jsonl","85,31","09/06/2026 11:39:50","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.38_REPLAY_LEDGER.jsonl","P8.38_REPLAY_LEDGER.jsonl",".jsonl","84,76","09/06/2026 11:39:52","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl","P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl",".jsonl","758,01","09/06/2026 11:40:02","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.50_DAILY_PAPER_LEDGER.jsonl","P8.50_DAILY_PAPER_LEDGER.jsonl",".jsonl","130,97","09/06/2026 11:40:01","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.95_PAPER_BROKER_LEDGER.jsonl","P8.95_PAPER_BROKER_LEDGER.jsonl",".jsonl","17,07","09/06/2026 11:39:54","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\FTMO_SIMULATION_LEDGER.jsonl","FTMO_SIMULATION_LEDGER.jsonl",".jsonl","130,51","14/06/2026 13:22:34","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.38_REPLAY_LEDGER.jsonl","P8.38_REPLAY_LEDGER.jsonl",".jsonl","150,95","14/06/2026 13:22:37","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl","P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl",".jsonl","2067,31","14/06/2026 13:22:50","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.50_DAILY_PAPER_LEDGER.jsonl","P8.50_DAILY_PAPER_LEDGER.jsonl",".jsonl","386,95","14/06/2026 13:22:47","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.95_PAPER_BROKER_LEDGER.jsonl","P8.95_PAPER_BROKER_LEDGER.jsonl",".jsonl","462,11","14/06/2026 13:22:39","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.79_edge_discovery_authority.json","P8.79_edge_discovery_authority.json",".json","12,06","14/06/2026 13:22:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.89_knowledge_absorption_registered.json","P8.89_knowledge_absorption_registered.json",".json","1,24","14/06/2026 13:22:51","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.79_edge_discovery_authority.json","P8.79_edge_discovery_authority.json",".json","12,06","09/06/2026 11:40:04","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.87_knowledge_absorption.json","P8.87_knowledge_absorption.json",".json","1,11","08/06/2026 21:14:13","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.89_knowledge_absorption_registered.json","P8.89_knowledge_absorption_registered.json",".json","1,24","09/06/2026 11:40:04","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P1100_1500X_AUTONOMOUS_EDGE_EVOLUTION_ECOSYSTEM\p1400_edge_genome.json","p1400_edge_genome.json",".json","6,26","15/06/2026 16:41:44","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P1100_1500X_AUTONOMOUS_EDGE_EVOLUTION_ECOSYSTEM\p1450_edge_decay_monitor.json","p1450_edge_decay_monitor.json",".json","6,55","15/06/2026 16:41:44","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P11_EDGE_EVIDENCE_ENGINE\P11_sample_edge_evaluation.json","P11_sample_edge_evaluation.json",".json","0,52","14/06/2026 13:11:26","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P12.2_CLOUD_EXPORT_VERIFICATION_LEDGER\P12.2_cloud_export_verification_ledger.json","P12.2_cloud_export_verification_ledger.json",".json","0,6","14/06/2026 13:11:26","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P121_200X_AUTONOMOUS_DEMO_EVIDENCE_FACTORY\p161_p180_edge_evolution_factory.json","p161_p180_edge_evolution_factory.json",".json","2,69","14/06/2026 13:11:26","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.11_PROMOTED_EDGE_FORENSIC_AUDIT\approved_edges.json","approved_edges.json",".json","12,22","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.11_PROMOTED_EDGE_FORENSIC_AUDIT\rejected_edges.json","rejected_edges.json",".json","0","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.12_EDGE_PROMOTION_AUTHORITY\authority_promoted_edges.json","authority_promoted_edges.json",".json","1,68","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.17_EDGE_VALIDATION_MEGA_PACK\approved_edges.json","approved_edges.json",".json","2,44","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.17_EDGE_VALIDATION_MEGA_PACK\edge_memory.json","edge_memory.json",".json","70,63","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.17_EDGE_VALIDATION_MEGA_PACK\rejected_edges.json","rejected_edges.json",".json","0","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.17_EDGE_VALIDATION_MEGA_PACK\research_edges.json","research_edges.json",".json","0","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.18_PAPER_RESEARCH_PORTFOLIO_SIMULATOR\single_edge_results.json","single_edge_results.json",".json","1,6","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.1_REAL_EDGE_DISCOVERY_RUNTIME\edge_candidates.json","edge_candidates.json",".json","0","14/06/2026 13:11:32","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.6_P15.10_REAL_EDGE_RESEARCH_RUNTIME\all_edge_research_results.json","all_edge_research_results.json",".json","547,21","14/06/2026 13:20:23","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P15.6_P15.10_REAL_EDGE_RESEARCH_RUNTIME\promoted_edges.json","promoted_edges.json",".json","11,5","14/06/2026 13:20:23","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P1501_EDGE_EVOLUTION_LIVE_MONITOR\latest_edge_evolution_monitor.json","latest_edge_evolution_monitor.json",".json","0,73","15/06/2026 16:41:44","edge"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P1505_DATA_INGESTION_ENGINE\p1505_edges_with_payoff_metrics.json","p1505_edges_with_payoff_metrics.json",".json","273,79","15/06/2026 15:39:39","edge"
