symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
USDJPY,H1,EMA_CROSS,"9,34",146,1.3824,31.51,3.0053,9.023,12.878,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_H1_raw.csv
XAUUSD,H1,SMA_CROSS,"20,50",111,1.3809,34.23,2.6528,742.07,1196.84,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_H1_raw.csv
USDCAD,M30,SMA_CROSS,"13,55",112,1.378,38.39,2.2112,0.03665,0.04437,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M30_raw.csv
EURUSD,M15,EMA_CROSS,"21,55",82,1.3722,32.93,2.7953,0.01975,0.02143,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M15_raw.csv
EURUSD,H4,SMA_CROSS,"13,55",68,1.3635,36.76,2.3453,0.0625,0.07637,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_H4_raw.csv
GER40,H4,EMA_CROSS,"21,55",56,1.3576,32.14,2.866,2128.2,3336.7,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv
JP225,M15,EMA_CROSS,"9,34",145,1.3531,33.1,2.7344,2803.0,8729.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_M15_raw.csv
GER40,M15,EMA_CROSS,"13,55",96,1.3485,33.33,2.6969,1366.4,1871.7,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M15_raw.csv
USDCAD,H1,SMA_CROSS,"20,50",100,1.3258,36.0,2.3569,0.03712,0.05487,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
EURUSD,M15,EMA_CROSS,"13,55",96,1.3201,35.42,2.4072,0.02216,0.02068,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M15_raw.csv
USDCAD,M15,SMA_CROSS,"20,50",98,1.3195,39.8,1.9962,0.01606,0.02331,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M15_raw.csv
JP225,H4,EMA_CROSS,"9,34",97,1.3168,30.93,2.9409,8206.0,11821.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_H4_raw.csv
GER40,H4,SMA_CROSS,"20,50",62,1.3133,48.39,1.4009,3508.8,3445.92,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv
US100,M30,EMA_CROSS,"21,55",77,1.2975,36.36,2.2707,3436.4,2687.4,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M30_raw.csv
US500,D1,SMA_CROSS,"9,34",41,1.2924,43.9,1.6514,1689.9,1049.66,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_D1_raw.csv
