time,open,high,low,close,volume
2015-09-14 00:00:00+00:00,1107.44,1110.4,1103.46,1108.77,63897
2015-09-15 00:00:00+00:00,1108.47,1109.31,1102.15,1105.24,53198
2015-09-16 00:00:00+00:00,1105.26,1124.11,1103.92,1119.15,91657
2015-09-17 00:00:00+00:00,1119.21,1135.13,1115.35,1132.34,95941
2015-09-18 00:00:00+00:00,1130.88,1141.68,1127.47,1139.04,108457
2015-09-21 00:00:00+00:00,1139.11,1139.81,1129.56,1133.3,63532
2015-09-22 00:00:00+00:00,1132.95,1136.51,1121.28,1124.3,81592
2015-09-23 00:00:00+00:00,1124.8,1134.14,1121.79,1129.98,70573
2015-09-24 00:00:00+00:00,1130.72,1156.65,1130.31,1153.98,116270
2015-09-25 00:00:00+00:00,1149.55,1151.14,1140.71,1145.56,107930
2015-09-28 00:00:00+00:00,1145.33,1148.14,1127.95,1132.17,105853
2015-09-29 00:00:00+00:00,1132.01,1134.63,1124.17,1127.11,93689
2015-09-30 00:00:00+00:00,1127.25,1128.08,1111.3,1114.47,103649
2015-10-01 00:00:00+00:00,1115.56,1119.13,1110.99,1113.52,79819
2015-10-02 00:00:00+00:00,1113.48,1141.21,1104.59,1138.72,111053
2015-10-05 00:00:00+00:00,1136.78,1141.92,1130.06,1135.43,97787
2015-10-06 00:00:00+00:00,1135.63,1151.18,1134.92,1146.97,81553
2015-10-07 00:00:00+00:00,1146.93,1153.57,1141.72,1145.32,82711
2015-10-08 00:00:00+00:00,1145.09,1151.21,1136.56,1139.07,86977
2015-10-09 00:00:00+00:00,1138.96,1159.61,1138.91,1156.53,94980
2015-10-12 00:00:00+00:00,1155.83,1168.9,1154.73,1163.78,66859
2015-10-13 00:00:00+00:00,1163.52,1168.6,1151.74,1168.09,97325
2015-10-14 00:00:00+00:00,1168.08,1189.7,1163.35,1184.58,103600
2015-10-15 00:00:00+00:00,1184.54,1191.44,1174.23,1182.7,97094
2015-10-16 00:00:00+00:00,1182.06,1184.34,1174.24,1177.14,93245
2015-10-19 00:00:00+00:00,1176.54,1178.13,1167.59,1170.2,81620
2015-10-20 00:00:00+00:00,1170.01,1180.67,1167.31,1176.35,83433
2015-10-21 00:00:00+00:00,1176.19,1179.13,1163.61,1166.95,93387
2015-10-22 00:00:00+00:00,1167.62,1171.72,1162.55,1165.43,102747
2015-10-23 00:00:00+00:00,1166.0,1179.29,1158.88,1164.37,112174
2015-10-26 00:00:00+00:00,1162.9,1169.59,1162.04,1163.0,82136
2015-10-27 00:00:00+00:00,1163.79,1168.63,1160.73,1166.5,81801
2015-10-28 00:00:00+00:00,1167.11,1182.86,1152.26,1155.77,112193
2015-10-29 00:00:00+00:00,1157.37,1162.59,1144.63,1145.78,118823
2015-10-30 00:00:00+00:00,1145.64,1149.97,1139.23,1141.74,113135
2015-11-02 00:00:00+00:00,1141.45,1142.94,1131.75,1133.46,92777
2015-11-03 00:00:00+00:00,1133.72,1138.25,1114.33,1117.61,101549
2015-11-04 00:00:00+00:00,1118.11,1122.76,1106.35,1107.51,110560
2015-11-05 00:00:00+00:00,1107.94,1111.45,1102.9,1103.57,93864
2015-11-06 00:00:00+00:00,1104.55,1110.38,1085.39,1088.62,88325
2015-11-09 00:00:00+00:00,1090.33,1095.59,1088.31,1091.95,90911
2015-11-10 00:00:00+00:00,1092.27,1094.79,1085.22,1089.6,78402
2015-11-11 00:00:00+00:00,1089.88,1093.58,1083.63,1085.84,81301
2015-11-12 00:00:00+00:00,1086.5,1089.52,1074.08,1084.9,100179
2015-11-13 00:00:00+00:00,1085.0,1088.54,1079.57,1083.54,112851
2015-11-16 00:00:00+00:00,1088.11,1098.01,1081.06,1082.68,110988
2015-11-17 00:00:00+00:00,1083.85,1085.01,1065.44,1070.06,107652
2015-11-18 00:00:00+00:00,1071.57,1075.39,1064.64,1070.87,113223
2015-11-19 00:00:00+00:00,1071.57,1087.38,1069.46,1082.04,113813
2015-11-20 00:00:00+00:00,1081.9,1088.01,1075.76,1077.98,109573
2015-11-23 00:00:00+00:00,1076.15,1076.65,1066.62,1068.92,112286
2015-11-24 00:00:00+00:00,1069.07,1081.01,1068.93,1075.31,104757
2015-11-25 00:00:00+00:00,1075.69,1080.74,1067.83,1071.1,83010
2015-11-26 00:00:00+00:00,1071.18,1074.8,1069.6,1071.65,49265
2015-11-27 00:00:00+00:00,1071.76,1073.73,1052.67,1058.04,75931
2015-11-30 00:00:00+00:00,1058.29,1069.68,1053.13,1064.37,87131
2015-12-01 00:00:00+00:00,1064.81,1074.58,1063.18,1069.24,88831
2015-12-02 00:00:00+00:00,1068.87,1071.36,1050.58,1053.49,96810
2015-12-03 00:00:00+00:00,1053.84,1065.39,1046.23,1062.1,134210
2015-12-04 00:00:00+00:00,1063.35,1088.78,1058.07,1086.76,144622
2015-12-07 00:00:00+00:00,1084.82,1086.55,1066.11,1070.76,131150
2015-12-08 00:00:00+00:00,1070.96,1079.03,1067.57,1074.52,125801
2015-12-09 00:00:00+00:00,1074.53,1085.3,1069.29,1072.67,125041
2015-12-10 00:00:00+00:00,1072.2,1076.42,1069.35,1071.21,116928
2015-12-11 00:00:00+00:00,1071.75,1079.53,1062.36,1074.66,129556
2015-12-14 00:00:00+00:00,1073.72,1077.48,1058.53,1060.12,112737
2015-12-15 00:00:00+00:00,1061.16,1068.6,1058.89,1060.8,111635
2015-12-16 00:00:00+00:00,1061.21,1078.27,1060.83,1072.18,108314
